wind_speed,rainfall,distance_from_coast,infrastructure_age,population_density,cyclone_intensity,risk
60,80,150,10,200,2,0
75,100,120,15,350,2,0
90,120,100,20,500,3,1
110,150,80,25,700,3,1
125,180,60,30,900,4,1
140,220,40,35,1200,4,2
155,250,30,40,1500,5,2
170,300,20,45,1800,5,2
180,350,10,50,2200,5,2
55,60,200,8,150,1,0
70,90,180,12,250,2,0
85,110,140,18,400,2,0
100,140,90,22,600,3,1
115,170,70,28,800,3,1
130,200,50,32,1000,4,1
145,240,35,38,1300,4,2
160,280,25,42,1600,5,2
175,320,15,48,2000,5,2
65,70,160,10,300,1,0
95,130,110,20,550,3,1
120,190,65,30,850,4,1
150,260,30,40,1400,5,2
185,380,5,55,2500,5,2
80,100,130,15,450,2,0
105,160,75,25,750,3,1
135,210,45,35,1100,4,1
165,290,18,45,1900,5,2
